ts,endpoint,active,last_activity_age_s,watchdog_count,recover_count,reg_attempts,reg_success,total_resets,uptime_s,last_reset_reason,thread_role,mesh_children,nft_pkts,pi4_edge_cpu_pct
1779222576,ami-esp32c6-08fc,True,2,0,0,3,2,4,15,8,Child,29,21390,10.77
1779222576,ami-esp32c6-091c,True,380,0,0,2,1,4,19,8,Child,29,21390,10.77
1779222576,ami-esp32c6-1494,True,44,0,0,3,2,4,13,8,Child,29,21390,10.77
1779222576,ami-esp32c6-1498,True,7,12,29,9,3,6,20,8,Child,29,21390,10.77
1779222576,ami-esp32c6-14bc,True,4,1,10,6,2,4,14,2,Child,29,21390,10.77
1779222576,ami-esp32c6-14c8,True,2,0,0,3,3,4,11,8,Child,29,21390,10.77
1779222576,ami-esp32c6-1534,True,19,0,0,4,3,5,20,8,Child,29,21390,10.77
1779222576,ami-esp32c6-1558,True,8,0,0,3,2,6,14,2,Child,29,21390,10.77
1779222576,ami-esp32c6-155c,True,16,0,0,4,3,7,16,8,Child,29,21390,10.77
1779222576,ami-esp32c6-15d8,True,92,0,0,2,1,3,37,8,Child,29,21390,10.77
1779222576,ami-esp32c6-ba64,False,1760,0,6,5,3,8,9,2,Child,29,21390,10.77
1779222576,ami-esp32c6-c144,True,384,0,0,2,1,3,14,8,Child,29,21390,10.77
1779222576,ami-esp32c6-c60c,True,8,0,0,2,1,4,33,8,Child,29,21390,10.77
1779222576,ami-esp32c6-c61c,True,18,0,0,2,1,4,35,8,Child,29,21390,10.77
1779222576,ami-esp32c6-d2b4,True,49,0,0,4,3,6,25,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f6c8,True,9,0,0,3,2,4,15,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f6d4,True,97,0,0,2,1,3,29,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f6e4,True,105,0,0,2,1,3,19,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f768,True,91,0,0,3,2,4,31,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f788,True,90,0,0,3,2,5,14,16,Child,29,21390,10.77
1779222576,ami-esp32c6-f794,False,3148,0,0,1,0,2,20,0,Child,29,21390,10.77
1779222576,ami-esp32c6-f79c,True,38,1,2,4,3,4,1254,2,Child,29,21390,10.77
1779222576,ami-esp32c6-f7b4,True,13,0,0,3,2,4,11,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f7e8,True,44,0,0,2,1,3,12,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f808,True,328,0,0,2,1,4,19,16,Child,29,21390,10.77
1779222576,ami-esp32c6-f81c,True,11,0,0,3,2,5,12,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f84c,True,0,11,35,5,4,9,25,8,Child,29,21390,10.77
1779222576,ami-esp32c6-f854,False,3184,0,0,1,0,3,12,2,Child,29,21390,10.77
1779222576,ami-esp32c6-fbb4,True,0,0,0,5,3,6,18,8,Child,29,21390,10.77
1779222576,ami-esp32c6-fbb8,False,1958,2,12,4,2,6,278,16,Child,29,21390,10.77
1779222666,ami-esp32c6-08fc,True,2,0,0,3,2,4,15,8,Child,30,21405,5.61
1779222666,ami-esp32c6-091c,True,470,0,0,2,1,4,19,8,Child,30,21405,5.61
1779222666,ami-esp32c6-1494,True,24,0,0,3,2,4,13,8,Child,30,21405,5.61
1779222666,ami-esp32c6-1498,True,9,12,29,9,3,6,20,8,Child,30,21405,5.61
1779222666,ami-esp32c6-14bc,True,94,1,10,6,2,4,14,2,Child,30,21405,5.61
1779222666,ami-esp32c6-14c8,True,36,0,0,3,3,4,11,8,Child,30,21405,5.61
1779222666,ami-esp32c6-1534,True,3,0,0,4,3,5,20,8,Child,30,21405,5.61
1779222666,ami-esp32c6-1558,True,3,0,0,3,2,6,14,2,Child,30,21405,5.61
1779222666,ami-esp32c6-155c,True,8,0,0,4,3,7,16,8,Child,30,21405,5.61
1779222666,ami-esp32c6-15d8,True,62,0,0,2,1,3,37,8,Child,30,21405,5.61
1779222666,ami-esp32c6-ba64,False,1850,0,6,5,3,8,9,2,Child,30,21405,5.61
1779222666,ami-esp32c6-c144,True,474,0,0,2,1,3,14,8,Child,30,21405,5.61
1779222666,ami-esp32c6-c60c,True,7,0,0,2,1,4,33,8,Child,30,21405,5.61
1779222666,ami-esp32c6-c61c,True,1,0,0,2,1,4,35,8,Child,30,21405,5.61
1779222666,ami-esp32c6-d2b4,True,26,0,0,4,3,6,25,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f6c8,True,8,0,0,3,2,4,15,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f6d4,True,68,0,0,2,1,3,29,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f6e4,True,74,0,0,2,1,3,19,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f768,True,19,0,0,4,3,6,35,2,Child,30,21405,5.61
1779222666,ami-esp32c6-f788,True,3,0,0,4,3,7,17,16,Child,30,21405,5.61
1779222666,ami-esp32c6-f794,False,3238,0,0,1,0,2,20,0,Child,30,21405,5.61
1779222666,ami-esp32c6-f79c,True,8,1,2,4,3,4,1254,2,Child,30,21405,5.61
1779222666,ami-esp32c6-f7b4,True,12,0,0,3,2,4,11,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f7e8,True,134,0,0,2,1,3,12,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f808,True,418,0,0,2,1,4,19,16,Child,30,21405,5.61
1779222666,ami-esp32c6-f81c,True,5,0,0,3,2,5,12,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f84c,True,0,11,35,5,4,9,25,8,Child,30,21405,5.61
1779222666,ami-esp32c6-f854,False,3274,0,0,1,0,3,12,2,Child,30,21405,5.61
1779222666,ami-esp32c6-fbb4,True,0,0,0,5,3,6,18,8,Child,30,21405,5.61
1779222666,ami-esp32c6-fbb8,False,2048,2,12,4,2,6,278,16,Child,30,21405,5.61
1779222756,ami-esp32c6-08fc,True,2,0,0,3,2,4,15,8,Child,24,21419,8.91
1779222756,ami-esp32c6-091c,True,560,0,0,2,1,4,19,8,Child,24,21419,8.91
1779222756,ami-esp32c6-1494,True,114,0,0,3,2,4,13,8,Child,24,21419,8.91
1779222756,ami-esp32c6-1498,True,2,12,29,9,3,6,20,8,Child,24,21419,8.91
1779222756,ami-esp32c6-14bc,True,184,1,10,6,2,4,14,2,Child,24,21419,8.91
1779222756,ami-esp32c6-14c8,True,126,0,0,3,3,4,11,8,Child,24,21419,8.91
1779222756,ami-esp32c6-1534,True,27,0,0,4,3,5,20,8,Child,24,21419,8.91
1779222756,ami-esp32c6-1558,True,14,0,0,3,2,6,14,2,Child,24,21419,8.91
1779222756,ami-esp32c6-155c,True,7,0,0,4,3,7,16,8,Child,24,21419,8.91
1779222756,ami-esp32c6-15d8,True,152,0,0,2,1,3,37,8,Child,24,21419,8.91
1779222756,ami-esp32c6-ba64,False,1940,0,6,5,3,8,9,2,Child,24,21419,8.91
1779222756,ami-esp32c6-c144,True,564,0,0,2,1,3,14,8,Child,24,21419,8.91
1779222756,ami-esp32c6-c60c,True,14,0,0,2,1,4,33,8,Child,24,21419,8.91
